AACC CONVENTION,Travel-Out of Area,1/30/09,"1,495.00"
AACC CONVENTION,Travel-Out of Area,2/12/09,698
AACC CONVENTION,Travel-Out of Area,3/3/09,698
AACC CONVENTION,Travel-Out of Area,3/3/09,597
AACC CONVENTION,Travel-Out of Area,3/5/09,848
AACC CONVENTION,Travel-Out of Area,3/24/09,798
AACC CONVENTION,Travel-Out of Area,3/26/09,798
AACC CONVENTION,Travel-Out of Area,4/28/09,200
AACC PRESIDENTS ACADEMY,Memberships,10/28/08,"6,335.00"
AACC/CCSN,Periodicals & Newspapers,9/11/08,54
AACC/CCSN,Miscellaneous Fees,1/8/09,100
AACC/CCSN,Seminar/Registration Fees,1/13/09,698
AACC/CCSN,Travel-Out of Area,3/17/09,737
AACC/CCSN,Travel-Out of Area,3/17/09,798
AACC/CCSN,Travel-Out of Area,3/17/09,737
AACC/CCSN,Travel-Out of Area,3/17/09,455
AACRAO,"Books, Booklets & Tapes",10/2/08,352
AACRAO,Travel-Out of Area,10/14/08,829
AACRAO,Memberships,1/27/09,812
AACRAO,Travel-Out of Area,2/3/09,445
AACRAO,Memberships,2/5/09,812
AACRAO,Travel-Out of Area,3/12/09,450
AACRAO,Travel-Out of Area,3/31/09,450
AACRAO,Office Supplies,5/7/09,99
AACRAO,Memberships,6/16/09,406
AACRAO,Prepaid Expenditures,7/7/09,"1,015.00"
AACRAO,Prepaid Expenditures,7/16/09,812
AACRAO,Prepaid Expenditures,7/23/09,"1,015.00"
AACRAO,Memberships,7/28/09,"1,015.00"
AAF INTERNATIONAL HVAC,Supplies,4/23/09,-605.35
AAF INTERNATIONAL HVAC,Supplies,4/23/09,715.23
AAF INTERNATIONAL HVAC,Supplies,4/28/09,"16,259.96"
AAF INTERNATIONAL HVAC,Supplies,4/28/09,"15,137.63"
AAF INTERNATIONAL HVAC,Supplies,6/2/09,"2,670.84"
AAF INTERNATIONAL HVAC,Supplies,8/20/09,802.56
AAFPE HEADQUARTERS,Travel-In Area,10/23/08,475
AAFPE HEADQUARTERS,Travel-In Area,10/23/08,400
AAFPE HEADQUARTERS,Travel-In Area,10/23/08,400
AAFPE HEADQUARTERS,Travel-In Area,10/30/08,475
AAFPE HEADQUARTERS,Memberships,11/18/08,400
AAFPE HEADQUARTERS,Seminar/Registration Fees,3/26/09,85
AAHHE,Travel-Out of Area,1/8/09,425
AAHHE,Travel-Out of Area,2/26/09,425
AAHHE,Travel-Out of Area,2/26/09,350
"AARON BROTHERS, INC.",Departmental Supplies,9/9/08,153
AARON C. BLYTHE,Stale-dated Vendor Checks,7/14/09,54
AARON DARNELL MOBLEY,Clearing,9/4/08,200
AARON M. YOUNG,Athletic Officials,5/12/09,120
AARON M. YOUNG,Athletic Officials,5/19/09,125
AARON T. STONE,Clubs,8/13/09,150
AASCU,Travel-Out of Area,11/11/08,475
AASHE,Memberships,9/9/08,500
AASHE,Memberships,9/9/08,335
AASHE,Travel-Out of Area,9/23/08,390
AASHE,Travel-Out of Area,9/25/08,390
AASHE,Travel-Out of Area,10/7/08,390
AASHE,Special Travel,10/21/08,90
AASHE,Travel-Out of Area,10/28/08,390
AASHE,Travel-Out of Area,10/28/08,390
AASHE,Memberships,11/26/08,"2,925.00"
AASHE,Travel-Out of Area,7/28/09,410
AASHE,Prepaid Expenditures,7/30/09,410
AASTRA USA INC,Equipment-Special-Inventoriable,9/3/08,"6,137.60"
AASTRA USA INC,Telephone-Local Service,9/9/08,"1,260.00"
AASTRA USA INC,Info. Tech.-Maintenance & Repair,10/21/08,"25,896.50"
AASTRA USA INC,Information Technology Supplies,11/11/08,"9,664.41"
AASTRA USA INC,Info. Tech.-Maintenance & Repair,12/9/08,"25,896.50"
AASTRA USA INC,Departmental Supplies,12/23/08,854.54
AASTRA USA INC,Telephone Supplies,1/6/09,"20,429.30"
AASTRA USA INC,Telephone-Local Service,1/8/09,"1,495.00"
AASTRA USA INC,Telephone-Local Service,1/8/09,"17,029.20"
AASTRA USA INC,Telephone-Local Service,1/8/09,"20,267.20"
AASTRA USA INC,Telephone-Local Service,1/8/09,"20,267.20"
AASTRA USA INC,Telephone-Local Service,1/8/09,"5,095.21"
AASTRA USA INC,Info. Tech.-Equipment Amortization,1/27/09,"28,584.07"
AASTRA USA INC,Minor Equipment,2/5/09,"3,556.23"
AASTRA USA INC,Information Technology Supplies,2/10/09,"19,487.29"
AASTRA USA INC,Electrical Supplies,3/10/09,"2,031.00"
AASTRA USA INC,Electrical Supplies,3/10/09,"2,031.00"
AASTRA USA INC,Travel-In Area,3/12/09,"1,625.00"
AASTRA USA INC,Travel-In Area,3/12/09,"3,250.00"
AASTRA USA INC,Other Contracted Svces/Labor,3/26/09,"2,934.82"
AASTRA USA INC,Other Contracted Svces/Labor,3/26/09,"4,965.82"
AASTRA USA INC,Other Contracted Svces/Labor,3/26/09,"2,934.82"
AASTRA USA INC,Non-Inv Software,3/31/09,"18,575.00"
